COUNTY	CASES	DEATHS	RECOVERED
Massac-Illinois	0	0	0
Menard-Illinois	0	0	0
Mercer-Illinois	0	0	0
Monroe-Illinois	3	0	0
Montgomery-Illinois	0	0	0
Morgan-Illinois	1	0	0
Moultrie-Illinois	0	0	0
Ogle-Illinois	0	0	0
Peoria-Illinois	6	0	0
Perry-Illinois	0	0	0
Piatt-Illinois	0	0	0
Pike-Illinois	0	0	0
Pope-Illinois	0	0	0
Pulaski-Illinois	0	0	0
Putnam-Illinois	0	0	0
Randolph-Illinois	0	0	0
Richland-Illinois	0	0	0
Rock Island-Illinois	4	0	0
St Clair-Illinois	0	0	0
Saline-Illinois	0	0	0
Sangamon-Illinois	7	1	0
Schuyler-Illinois	0	0	0
Scott-Illinois	0	0	0
Shelby-Illinois	0	0	0
Stark-Illinois	0	0	0
Stephenson-Illinois	2	0	0
Tazewell-Illinois	2	0	0
Union-Illinois	0	0	0
Vermilion-Illinois	0	0	0
Wabash-Illinois	0	0	0
Warren-Illinois	0	0	0
Washington-Illinois	1	0	0
Wayne-Illinois	0	0	0
White-Illinois	0	0	0
Whiteside-Illinois	2	0	0
Will-Illinois	104	3	0
Williamson-Illinois	1	0	0
Winnebago-Illinois	8	0	0
Woodford-Illinois	3	0	0
Adams-Indiana	1	0	0
Allen-Indiana	21	1	0
Bartholomew-Indiana	6	0	0
Benton-Indiana	0	0	0
Blackford-Indiana	0	0	0
Boone-Indiana	7	0	0
Brown-Indiana	2	0	0
Carroll-Indiana	0	0	0
Cass-Indiana	0	0	0
Clark-Indiana	12	0	0
Clay-Indiana	0	0	0
Clinton-Indiana	1	0	0
Crawford-Indiana	0	0	0
Daviess-Indiana	0	0	0
Dearborn-Indiana	4	1	0
Decatur-Indiana	26	0	0
De Kalb-Indiana	0	0	0
Delaware-Indiana	8	1	0
Dubois-Indiana	1	0	0
Elkhart-Indiana	9	0	0
Fayette-Indiana	3	0	0
Floyd-Indiana	11	0	0
Fountain-Indiana	1	0	0
Franklin-Indiana	21	1	0
Fulton-Indiana	1	0	0
Gibson-Indiana	3	0	0
Grant-Indiana	5	0	0
Greene-Indiana	0	0	0
Hamilton-Indiana	52	0	0
Hancock-Indiana	13	1	0
Harrison-Indiana	4	0	0
Hendricks-Indiana	28	2	0
Henry-Indiana	1	0	0
Howard-Indiana	7	1	0
Huntington-Indiana	1	0	0
Jackson-Indiana	4	0	0
Jasper-Indiana	4	1	0
Jay-Indiana	0	0	0
Jefferson-Indiana	0	0	0
Jennings-Indiana	5	0	0
Johnson-Indiana	42	3	0
Knox-Indiana	0	0	0
Kosciusko-Indiana	1	0	0
La Grange-Indiana	0	0	0
Lake-Indiana	47	0	0
La Porte-Indiana	0	0	0
Lawrence-Indiana	5	0	0
Madison-Indiana	7	1	0
Marion-Indiana	484	8	0
Marshall-Indiana	4	0	0
Martin-Indiana	0	0	0
Miami-Indiana	1	0	0
Monroe-Indiana	8	0	0
Montgomery-Indiana	3	0	0
Morgan-Indiana	10	0	0
Newton-Indiana	0	0	0
Noble-Indiana	1	0	0
Ohio-Indiana	1	0	0
Orange-Indiana	1	0	0
Owen-Indiana	5	0	0
Parke-Indiana	0	0	0
Perry-Indiana	0	0	0
Pike-Indiana	0	0	0
